Date,VIX
14/04/1992,15.97999954
15/04/1992,15.14999962
16/04/1992,14.85000038
20/04/1992,15.93000031
21/04/1992,16.53000069
22/04/1992,15.96000004
23/04/1992,15.82999992
24/04/1992,15.71000004
27/04/1992,16.48999977
28/04/1992,16.23999977
29/04/1992,15.94999981
30/04/1992,15.52999973
1/05/1992,16.61000061
4/05/1992,16.92000008
5/05/1992,16.65999985
6/05/1992,16.80999947
7/05/1992,16.54000092
8/05/1992,15.64999962
11/05/1992,15.17000008
12/05/1992,15.68000031
13/05/1992,15.18999958
14/05/1992,15.48999977
15/05/1992,14.81999969
18/05/1992,14.61999989
19/05/1992,13.56999969
20/05/1992,13.61999989
21/05/1992,13.92000008
22/05/1992,13.72999954
26/05/1992,14.92000008
27/05/1992,13.98999977
28/05/1992,13.77000046
29/05/1992,13.85999966
1/06/1992,14.43000031
2/06/1992,14.56999969
3/06/1992,14.35000038
4/06/1992,13.65999985
5/06/1992,14.64999962
8/06/1992,15.18999958
9/06/1992,15.97000027
10/06/1992,16.62000084
11/06/1992,16.29000092
12/06/1992,14.94999981
15/06/1992,14.76000023
16/06/1992,15.22000027
17/06/1992,18.07999992
18/06/1992,18.20000076
19/06/1992,16.30999947
22/06/1992,16.65999985
23/06/1992,14.52999973
24/06/1992,14.39999962
25/06/1992,14.39999962
26/06/1992,14.67000008
29/06/1992,13.21000004
30/06/1992,13.35000038
1/07/1992,13.34000015
2/07/1992,13.88000011
6/07/1992,14.86999989
7/07/1992,15.82999992
8/07/1992,15.52999973
9/07/1992,14.60000038
10/07/1992,13.69999981
13/07/1992,14.01000023
14/07/1992,13.5
15/07/1992,12.52000046
16/07/1992,12.27000046
17/07/1992,12.60000038
20/07/1992,12.65999985
21/07/1992,12.60000038
22/07/1992,13.56999969
23/07/1992,13.32999992
24/07/1992,13.36999989
27/07/1992,13.89999962
28/07/1992,13.05000019
29/07/1992,13.43999958
30/07/1992,13.5
31/07/1992,13.17000008
3/08/1992,13.82999992
4/08/1992,13.57999992
5/08/1992,13.81999969
6/08/1992,14.22999954
7/08/1992,13.93999958
10/08/1992,14.51000023
11/08/1992,15.09000015
12/08/1992,14.88000011
13/08/1992,15.34000015
14/08/1992,14.65999985
17/08/1992,14.60999966
18/08/1992,13.84000015
19/08/1992,14.35000038
20/08/1992,14.47999954
21/08/1992,15.01000023
24/08/1992,16.19000053
25/08/1992,15.61999989
26/08/1992,14.5
27/08/1992,13.65999985
28/08/1992,13.14000034
31/08/1992,13.57999992
1/09/1992,13.39999962
2/09/1992,12.72999954
3/09/1992,12.88000011
4/09/1992,12.97999954
8/09/1992,13.64999962
9/09/1992,13.35999966
10/09/1992,12.92000008
11/09/1992,12.47000027
14/09/1992,13
15/09/1992,13.63000011
16/09/1992,14.72000027
17/09/1992,14.31000042
18/09/1992,13.73999977
21/09/1992,13.44999981
22/09/1992,13.88000011
23/09/1992,13.82999992
24/09/1992,13.43999958
25/09/1992,14.80000019
28/09/1992,15.18999958
29/09/1992,14.97000027
30/09/1992,14.27999973
1/10/1992,16.30999947
2/10/1992,17.79000092
5/10/1992,20.01000023
6/10/1992,19.95000076
7/10/1992,21.02000046
8/10/1992,19.26000023
9/10/1992,20.51000023
12/10/1992,19.48999977
13/10/1992,17.89999962
14/10/1992,18.42000008
15/10/1992,17.11000061
16/10/1992,17.01000023
19/10/1992,17.30999947
20/10/1992,16.87000084
21/10/1992,16.62000084
22/10/1992,15.84000015
23/10/1992,16.45999908
26/10/1992,16.31999969
27/10/1992,16.23999977
28/10/1992,15.94999981
29/10/1992,15.47000027
30/10/1992,16.14999962
2/11/1992,16.67000008
3/11/1992,17.32999992
4/11/1992,16.28000069
5/11/1992,15.38000011
6/11/1992,14.68999958
9/11/1992,14.22999954
10/11/1992,14.36999989
11/11/1992,13.98999977
12/11/1992,14.36999989
13/11/1992,14.60999966
16/11/1992,14.85999966
17/11/1992,15.01000023
18/11/1992,14.55000019
19/11/1992,14.32999992
20/11/1992,13.67000008
23/11/1992,13.39999962
24/11/1992,12.65999985
25/11/1992,12.5
27/11/1992,12.57999992
30/11/1992,13.01000023
1/12/1992,12.80000019
2/12/1992,12.56000042
3/12/1992,12.02999973
4/12/1992,11.81000042
7/12/1992,12
8/12/1992,11.72999954
9/12/1992,12.57999992
10/12/1992,12.75
11/12/1992,12.34000015
14/12/1992,12.65999985
15/12/1992,12.40999985
16/12/1992,12.57999992
17/12/1992,12.14000034
18/12/1992,11.65999985
21/12/1992,11.64999962
22/12/1992,11.75
23/12/1992,11.51000023
24/12/1992,11.56999969
28/12/1992,12.22000027
29/12/1992,12.28999996
30/12/1992,12.60000038
31/12/1992,12.56999969
4/01/1993,13.35999966
5/01/1993,13.35000038
6/01/1993,13.36999989
7/01/1993,14.72000027
8/01/1993,13.77000046
11/01/1993,12.85999966
12/01/1993,12.77999973
13/01/1993,12.42000008
14/01/1993,11.98999977
15/01/1993,11.56999969
18/01/1993,11.48999977
19/01/1993,12.06000042
20/01/1993,12.14999962
21/01/1993,11.68999958
22/01/1993,11.30000019
25/01/1993,11.38000011
26/01/1993,11.44999981
27/01/1993,12.01000023
28/01/1993,12.03999996
29/01/1993,12.42000008
1/02/1993,12.32999992
2/02/1993,12.25
3/02/1993,12.11999989
4/02/1993,12.28999996
5/02/1993,12.89999962
8/02/1993,13.22000027
9/02/1993,13.47999954
10/02/1993,13.43000031
11/02/1993,12.68999958
12/02/1993,12.38000011
16/02/1993,15.76000023
17/02/1993,15.89999962
18/02/1993,15.56000042
19/02/1993,15.02000046
22/02/1993,14.69999981
23/02/1993,15.03999996
24/02/1993,14.72000027
25/02/1993,13.76000023
26/02/1993,13.15999985
1/03/1993,13.60000038
2/03/1993,12.48999977
3/03/1993,13.13000011
4/03/1993,13.43999958
5/03/1993,14.07999992
8/03/1993,16.21999931
9/03/1993,14.17000008
10/03/1993,13.90999985
11/03/1993,14.26000023
12/03/1993,15.65999985
15/03/1993,14.73999977
16/03/1993,14.51000023
17/03/1993,14.52999973
18/03/1993,14.17000008
19/03/1993,13.22999954
22/03/1993,13.65999985
23/03/1993,13.02000046
24/03/1993,12.43999958
25/03/1993,12.07999992
26/03/1993,12.21000004
29/03/1993,12.63000011
30/03/1993,12.22999954
31/03/1993,12.52999973
1/04/1993,13.02000046
2/04/1993,14.5
5/04/1993,14.11999989
6/04/1993,14.23999977
7/04/1993,13.64000034
8/04/1993,12.82999992
12/04/1993,11.93000031
13/04/1993,11.69999981
14/04/1993,11.76000023
15/04/1993,10.96000004
16/04/1993,11.28999996
19/04/1993,12.06000042
20/04/1993,11.93999958
21/04/1993,12.10999966
22/04/1993,12.68000031
23/04/1993,13.35999966
26/04/1993,15.25
27/04/1993,13.93000031
28/04/1993,13.11999989
29/04/1993,12.80000019
30/04/1993,12.42000008
3/05/1993,12.89999962
4/05/1993,12.14000034
5/05/1993,12.38000011
6/05/1993,13.22000027
7/05/1993,13.01000023
10/05/1993,13.72000027
11/05/1993,13.35000038
12/05/1993,13.56000042
13/05/1993,14.76000023
14/05/1993,14.39000034
17/05/1993,14.13000011
18/05/1993,14.18999958
19/05/1993,14.28999996
20/05/1993,13.97999954
21/05/1993,14.51000023
24/05/1993,14.10000038
25/05/1993,14.03999996
26/05/1993,12.88000011
27/05/1993,13.10000038
28/05/1993,13.47000027
1/06/1993,13.67000008
2/06/1993,13.47999954
3/06/1993,13.53999996
4/06/1993,12.85999966
7/06/1993,14.06999969
8/06/1993,14.73999977
9/06/1993,13.96000004
10/06/1993,13.31000042
11/06/1993,12.71000004
14/06/1993,12.32999992
15/06/1993,11.98999977
16/06/1993,11.86999989
17/06/1993,11.65999985
18/06/1993,12.23999977
21/06/1993,12.25
22/06/1993,11.64999962
23/06/1993,12.03999996
24/06/1993,12.25
25/06/1993,11.25
28/06/1993,11.10999966
29/06/1993,11.28999996
30/06/1993,11.26000023
1/07/1993,11.51000023
2/07/1993,11.32999992
6/07/1993,13.86999989
7/07/1993,13.05000019
8/07/1993,12.23999977
9/07/1993,10.80000019
12/07/1993,10.85000038
13/07/1993,11.02000046
14/07/1993,10.77999973
15/07/1993,10.60000038
16/07/1993,10.96000004
19/07/1993,11.46000004
20/07/1993,11.05000019
21/07/1993,11.97000027
22/07/1993,11.68999958
23/07/1993,11.31999969
26/07/1993,11.31999969
27/07/1993,11.34000015
28/07/1993,11.36999989
29/07/1993,11.25
30/07/1993,11.72999954
2/08/1993,11.47000027
3/08/1993,11.48999977
4/08/1993,11.71000004
5/08/1993,12.02999973
6/08/1993,12.32999992
9/08/1993,12.39000034
10/08/1993,12.31000042
11/08/1993,12.06999969
12/08/1993,12.38000011
13/08/1993,12.18999958
16/08/1993,12.01000023
17/08/1993,11.59000015
18/08/1993,11.52000046
19/08/1993,11.63000011
20/08/1993,11.61999989
23/08/1993,12.14999962
24/08/1993,11.80000019
25/08/1993,12.10000038
26/08/1993,12.14000034
27/08/1993,11.90999985
30/08/1993,11.73999977
31/08/1993,11.85000038
1/09/1993,11.47999954
2/09/1993,11.86999989
3/09/1993,11.15999985
7/09/1993,12.89999962
8/09/1993,13.23999977
9/09/1993,12.67000008
10/09/1993,11.69999981
13/09/1993,12.15999985
14/09/1993,13.14999962
15/09/1993,12.69999981
16/09/1993,13.35999966
17/09/1993,13.39000034
20/09/1993,14.60000038
21/09/1993,17.29999924
22/09/1993,13.75
23/09/1993,13.35999966
24/09/1993,12.47000027
27/09/1993,12.48999977
28/09/1993,12.18999958
29/09/1993,12.63000011
30/09/1993,12.98999977
1/10/1993,11.82999992
4/10/1993,12.85000038
5/10/1993,12.97000027
6/10/1993,12.68000031
7/10/1993,13.14000034
8/10/1993,12.03999996
11/10/1993,12.26000023
12/10/1993,12.40999985
13/10/1993,11.38000011
14/10/1993,11
15/10/1993,10.86999989
18/10/1993,11.32999992
19/10/1993,11.60999966
20/10/1993,11.31999969
21/10/1993,11.19999981
22/10/1993,11.47999954
25/10/1993,11.82999992
26/10/1993,11.82999992
27/10/1993,12.01000023
28/10/1993,11.88000011
29/10/1993,11.46000004
1/11/1993,11.77999973
2/11/1993,11.73999977
3/11/1993,13.26000023
4/11/1993,14.68000031
5/11/1993,14.97000027
8/11/1993,14.31000042
9/11/1993,13.93999958
10/11/1993,13.72000027
11/11/1993,13.88000011
12/11/1993,13.32999992
15/11/1993,14.46000004
16/11/1993,15.10999966
17/11/1993,15.56999969
18/11/1993,14.64999962
19/11/1993,15.02999973
22/11/1993,15.89999962
23/11/1993,14.27000046
24/11/1993,13.51000023
26/11/1993,13.77000046
29/11/1993,14.11999989
30/11/1993,13.76000023
1/12/1993,13.82999992
2/12/1993,13.51000023
3/12/1993,12.68999958
6/12/1993,12.84000015
7/12/1993,12.40999985
8/12/1993,12.46000004
9/12/1993,12.43000031
10/12/1993,12.60000038
13/12/1993,10.97999954
14/12/1993,11.13000011
15/12/1993,11.02999973
16/12/1993,10.89999962
17/12/1993,11.07999992
20/12/1993,10.75
21/12/1993,10.07999992
22/12/1993,9.31000042
23/12/1993,9.479999542
27/12/1993,9.699999809
28/12/1993,9.819999695
29/12/1993,10.46000004
30/12/1993,10.68999958
31/12/1993,11.65999985
3/01/1994,12.56999969
4/01/1994,11.90999985
5/01/1994,10.93999958
6/01/1994,11.27000046
7/01/1994,10.96000004
10/01/1994,10.73999977
11/01/1994,11.28999996
12/01/1994,11.64999962
13/01/1994,12.07999992
14/01/1994,11.14999962
17/01/1994,11.88000011
18/01/1994,11.63000011
19/01/1994,11.76000023
20/01/1994,11.15999985
21/01/1994,11.09000015
24/01/1994,11.60000038
25/01/1994,11.38000011
26/01/1994,11.17000008
27/01/1994,10.30000019
28/01/1994,9.93999958
31/01/1994,10.63000011
1/02/1994,10.64999962
2/02/1994,10.60999966
3/02/1994,10.75
4/02/1994,15.25
7/02/1994,13.96000004
8/02/1994,13.65999985
9/02/1994,13.30000019
10/02/1994,14.23999977
11/02/1994,14.46000004
14/02/1994,14.27999973
15/02/1994,13.39999962
16/02/1994,13.13000011
17/02/1994,13.78999996
18/02/1994,14.69999981
22/02/1994,13.52000046
23/02/1994,13.90999985
24/02/1994,15.96000004
25/02/1994,14.80000019
28/02/1994,14.86999989
1/03/1994,15.82999992
2/03/1994,16.07999992
3/03/1994,16.36000061
4/03/1994,16
7/03/1994,14.26000023
8/03/1994,16.22999954
9/03/1994,14.40999985
10/03/1994,16.54999924
11/03/1994,14.86999989
14/03/1994,16.61000061
15/03/1994,14.77999973
16/03/1994,14.51000023
17/03/1994,12.76000023
18/03/1994,13.31999969
21/03/1994,14.34000015
22/03/1994,13.39000034
23/03/1994,12.31000042
24/03/1994,13.43000031
25/03/1994,13.67000008
28/03/1994,14.89999962
29/03/1994,16.48999977
30/03/1994,18.59000015
31/03/1994,20.45000076
4/04/1994,23.87000084
5/04/1994,18.12999916
6/04/1994,17.37999916
7/04/1994,16.97999954
8/04/1994,16.92000008
11/04/1994,16.61000061
