,Asset,Start,End,Annual Return,Annual Volatility,Skewness,Kurtosis,Sharpe Ratio,Sortino Ratio,Max Drawdown,Tail Ratio,VaR
52,TUR,1993-02-28,2020-05-31,,,11.958549098938555,141.00689655172414,,inf,0.0,194861.25096430522,
53,UAE,1993-02-28,2020-05-31,inf,,5.584298493977982,30.546352911522376,,inf,0.0,6060.736651746892,
54,VNM,1993-02-28,2020-05-31,inf,,11.22532015133637,124.00781249999893,,inf,0.0,10091.05849054801,
55,Mkt-RF,1970-01-02,2020-03-31,0.0023894804256996416,0.03636895015315839,-0.5710736893240297,16.1948848733149,0.08390016577040439,0.11682454730166197,-0.5927587581983087,0.9494630448515433,-0.02074334308217462
56,SMB,1970-01-02,2020-03-31,2.9336868318408094e-05,0.018972451280119925,-0.9433896717771767,22.6309730318297,0.011068056656469498,0.015110233158790929,-0.6185574476540582,0.9529411764705881,-0.010936250839957593
57,HML,1970-01-02,2020-03-31,0.0014890355536103517,0.018412167512668283,0.24129376649028675,10.14827250155949,0.09001508268511832,0.13242759301967058,-0.5167383947276295,1.0863013698630037,-0.010492155471381426
58,RF,1970-01-02,2020-03-31,0.002150832626323984,0.0004554536148017974,0.6117896386607437,0.35118947775335174,4.717975365826088,inf,0.0,inf,-8.388802253326216e-05
59,Mom,1970-01-02,2020-03-31,0.0032650403419030027,0.025219302359214407,-0.9439803914175364,13.501155621426875,0.14194068176141644,0.19265684294217147,-0.6371515597344894,0.9622641509433963,-0.014262067258332487
60,SSE,1928-01-31,2020-05-31,,,11.934536701778304,143.0550983382132,,inf,0.0,1.1625317580932577e+19,
61,AORD,1928-01-31,2020-05-31,,,16.871448504622414,297.481210861244,,inf,0.0,1064450241177.842,
62,SENSEX,1928-01-31,2020-05-31,,,16.458469082501317,268.9218981743496,,inf,0.0,28279747141535.04,
63,CAC40,1928-01-31,2020-05-31,,,18.947195279068776,356.99840324930864,,inf,0.0,226142918376.23056,
64,FTSE100,1928-01-31,2020-05-31,,,19.45742657143515,388.57903567867453,,inf,0.0,186639150703.09567,
65,DAX,1928-01-31,2020-05-31,,,19.646948295335527,384.00257731958754,,inf,0.0,2105493442567.995,
66,S&P500,1928-01-31,2020-05-31,-1.0,2.474578783203236e+24,32.57780228867963,1071.6233865767056,0.11593091918903985,1.2667229295450965e+23,-1.0,58322075.34779972,-1.404792043868121e+24
67,TSX,1928-01-31,2020-05-31,,,22.090768226033408,486.00204081632626,,inf,0.0,1240825771237.0044,
68,HSI,1928-01-31,2020-05-31,,,19.95000000000001,396.00250000000034,,inf,0.0,1.327281679185439e+16,
69,NASDAQ,1928-01-31,2020-05-31,,,24.248746254502606,586.0016949152543,,inf,0.0,7732159364.420363,
70,KOSPI,1928-01-31,2020-05-31,,,16.462117281855665,269.00209564017365,,inf,0.0,3084525958226.007,
71,NIKKEI,1928-01-31,2020-05-31,,,12.131088145056959,156.31095498385025,,inf,0.0,2948054324906.686,
72,Small-Cap,2000-06-30,2020-05-31,0.09865980379266803,1.6851213959552884,13.746655909407261,201.99930939522542,0.2739983425949387,1.5357170261965958,-0.8124490801787176,1.2570940591583561,-0.9344285857750656
73,Value,2000-06-30,2020-05-31,0.07669867004886988,1.8801887454887207,13.565472109386263,198.3131103224563,0.27520540537898014,1.5132406621292627,-0.8071824392217167,1.2931713062349501,-1.0424076361776162
74,Growth,2000-06-30,2020-05-31,0.07468045369832832,2.5492156632355383,14.35159603502551,213.87435363035445,0.25961268636021817,1.9030644343467054,-0.7544130506032904,1.3473239174052742,-1.4166396221877715
75,Momentum,2000-06-30,2020-05-31,inf,,4.443860392959699,32.57913344113105,,inf,0.0,1.448255908058494,
76,Low Volatility,2000-06-30,2020-05-31,inf,,5.506033176421863,46.374048087829806,,inf,0.0,1.083562995364564,
77,High Dividend Yield,2000-06-30,2020-05-31,inf,,2.361178371521272,20.651457890536157,,inf,0.0,1.2076457487208467,
78,Materials,1999-01-31,2020-05-31,-1.0,21962312635882.125,15.937499987020068,252.00390597525436,0.21608979106860504,2150214081681.5505,-1.0,95340.43430878491,-12284461149947.336
79,Communications,1999-01-31,2020-05-31,,,4.47721504346782,18.045454545454557,,inf,0.0,2.801779663381066e+20,
80,Energy,1999-01-31,2020-05-31,-1.0,28889728402834.402,15.937499171043351,252.00388870157278,0.21612507220062271,2761456910300.492,-1.0,120519.60352455913,-16159176250448.373
81,Financials,1999-01-31,2020-05-31,-1.0,507969401234.42957,15.937499026431928,252.00388564003677,0.21612842724140605,50703236301.804085,-1.0,7372.016669167348,-284127384894.82794
82,Industrials,1999-01-31,2020-05-31,-1.0,200112882129867.6,15.937499993310754,252.00390610840947,0.2160883447686058,19554700382022.094,-1.0,147266.48836731404,-111931721243797.73
83,Technology,1999-01-31,2020-05-31,-1.0,1.0182893158926427e+17,15.93749999999998,252.00390624999983,0.2160847304937497,9916907574546310.0,-1.0,159103.92837543538,-5.6957321294442664e+16
84,Cons. Staples,1999-01-31,2020-05-31,-1.0,128291687538242.23,15.937499991617813,252.00390607257492,0.21608877531177823,12606292688183.643,-1.0,105590.00610813059,-71759040864760.52
85,Real Estate,1999-01-31,2020-05-31,,,5.32072377885051,27.837621980911955,,inf,0.0,168787.8086290564,
86,Utilities,1999-01-31,2020-05-31,-1.0,28481015589661.4,15.937499981608298,252.0039058607019,0.2160907507652108,2776822642009.95,-1.0,52616.730828273896,-15930648347374.47
