Date,MLPs,Internet,Gold Miners,Biotech,Software,Homebuilders,Regional Banks,Agriculture,Oil Services,Water Resources,Semiconductors,REITs,Metals & Mining,Oil & Gas E&P,Retail
14/05/2014,11.29154778,54.15999985,23.10648918,76.284729,77.60855865,22.52609253,33.43437576,48.41994095,911.5603638,25.03919792,40.84362793,57.63968658,36.99597549,278.1335144,38.30217361
15/05/2014,11.29154778,53.81999969,22.73116875,75.42436218,77.27592468,22.458004,33.25645447,48.08498001,896.4816284,24.86477852,40.44113159,57.60851288,36.61116028,275.3154297,37.85183334
16/05/2014,11.31654644,54.13000107,22.53869438,75.25952148,78.11734009,22.60390091,33.18527603,48.34942245,898.2349243,24.99075317,40.76129532,58.13817596,36.49481964,275.1671448,38.40327835
19/05/2014,11.27905083,54.95000076,22.5290699,76.31439972,79.07621002,22.56499672,33.71908569,48.41112518,904.5469971,25.15548134,41.11804962,57.90449142,36.620121,277.7626343,38.55492783
20/05/2014,11.31029701,54.56000137,22.50981903,75.27931976,78.48915863,22.39965057,33.37210464,48.09379578,902.4429932,24.79694748,40.91680145,57.72534943,35.7341423,275.6491089,37.60368347
21/05/2014,11.33529282,55.18999863,22.56756592,75.73422241,78.66525269,22.47745705,33.60342789,48.23483276,910.8589478,24.91322708,41.1546402,57.34368134,35.81468201,280.3582458,37.67721939
22/05/2014,11.37903214,55.63999939,22.50981903,77.18799591,79.41866302,22.88596344,33.77246475,48.13785934,914.3656006,25.09734154,41.3010025,57.24241257,35.7878418,279.5054016,38.081604
23/05/2014,11.37903214,56.31000137,22.43283272,77.34951782,80.14267731,23.37228012,33.93260193,48.25245285,914.3656006,25.29114151,41.62116241,57.74871826,35.9131279,277.2435608,38.24703598
27/05/2014,11.36028671,57.06999969,21.56669998,79.27139282,80.89605713,23.4111805,34.34186554,48.40230942,921.3790283,25.49463463,42.21575165,58.1615448,35.83258057,280.2470093,38.46300507
28/05/2014,11.34778786,56.84000015,21.21062469,78.98129272,80.07418823,23.37228012,34.10165024,48.18194199,917.6970215,25.37835503,42.27978516,57.79543686,35.27774048,283.4358826,38.10917282
29/05/2014,11.34154034,57.40000153,21.40309715,79.43289185,80.82759094,23.50844383,34.08386612,48.62268066,929.7949829,25.29114151,42.28892517,57.91228867,35.58200073,288.5899048,38.34354401
30/05/2014,11.39777756,56.83000183,21.65331078,78.98129272,79.90784454,23.37228012,34.06606293,48.57860947,931.3731079,25.25238609,42.38955688,58.17711639,35.10769653,285.6605835,38.49978256
2/06/2014,11.45401764,56.52000046,21.45121574,79.0867691,79.53604889,23.40145493,34.45751953,48.50808716,932.4250488,25.27176094,42.62738419,58.35627365,34.99135208,282.4346924,38.39867783
3/06/2014,11.44151974,56.08000183,21.52820396,79.41971588,79.02729034,23.37228012,34.57318497,48.32297897,938.0357666,25.19424248,43.15794373,58.32511139,34.67813492,284.4369202,38.50897598
4/06/2014,11.48526096,56.06999969,21.44159126,80.2603302,79.05664063,23.30419159,34.65325546,48.22600937,938.3863525,25.21362305,43.29515839,58.4419632,35.00925064,285.2156677,38.80307388
5/06/2014,11.50400734,56.90999985,21.79766655,80.82735443,79.96659088,23.55707741,35.32052231,48.49927521,941.7177734,25.61091805,43.46895981,59.51686096,35.64464951,287.7000122,39.06041718
6/06/2014,11.54774857,57.27000046,21.78804398,81.12404633,81.03305054,23.90722466,35.68528748,48.76371765,955.0430908,25.86286163,43.69764709,59.26760483,35.90416718,289.6281128,39.29017639
9/06/2014,11.55399895,57.5,21.70143127,81.7635498,81.17980957,24.08229637,36.2368927,48.59623718,959.9524536,26.19232178,43.78912354,58.55100632,35.93996048,290.5551147,39.405056
10/06/2014,11.56024742,57.77999878,22.16336632,82.1822052,81.24830627,23.97530937,36.08563614,48.56097794,955.7443237,26.13418388,44.00866318,58.11480331,35.9131279,289.0719299,39.38667679
11/06/2014,11.53525162,57.95999908,22.5290699,82.09321594,81.39508057,23.5668087,35.65860748,48.20838547,952.588501,25.95975685,44.0818367,57.95902634,36.24424362,291.9270935,39.31774902
