Date,BTCUSD,ETHUSD,XRPUSD
3/01/2016,430.0109863,0.971904993,0.00601714
4/01/2016,433.0910034,0.954479992,0.00595775
5/01/2016,431.9599915,0.950176001,0.00604433
6/01/2016,429.105011,0.950860023,0.00600329
7/01/2016,458.0480042,0.942004979,0.00603918
8/01/2016,453.230011,0.986788988,0.00593331
9/01/2016,447.6109924,0.986832976,0.00598202
10/01/2016,447.9909973,0.999230981,0.00595606
11/01/2016,448.428009,1.06159997,0.00589466
12/01/2016,435.6900024,1.141000032,0.00585438
13/01/2016,432.3710022,1.125200033,0.00579364
14/01/2016,430.3059998,1.189589977,0.00552936
15/01/2016,364.3309937,1.208009958,0.00522933
16/01/2016,387.5360107,1.220289946,0.00511205
17/01/2016,382.2990112,1.327469945,0.0052658
18/01/2016,387.1679993,1.426339984,0.00532603
19/01/2016,380.1489868,1.371389985,0.00527071
20/01/2016,420.230011,1.531820059,0.00538087
21/01/2016,410.2619934,1.553570032,0.00531257
22/01/2016,382.4920044,1.501270056,0.00511437
23/01/2016,387.4909973,1.972669959,0.00512009
24/01/2016,402.9710083,2.141200066,0.00521938
25/01/2016,391.7260132,2.499269962,0.00513465
26/01/2016,392.1530151,2.276370049,0.005419
27/01/2016,394.9719849,2.388550043,0.00650588
28/01/2016,380.2890015,2.526489973,0.00622596
29/01/2016,379.473999,2.49496007,0.00683954
30/01/2016,378.2550049,2.445060015,0.00663408
31/01/2016,368.7669983,2.306040049,0.00639919
1/02/2016,373.0559998,2.211689949,0.00654171
2/02/2016,374.447998,2.439640045,0.00676827
3/02/2016,369.9490051,2.5286901,0.00688256
4/02/2016,389.5939941,2.578039885,0.00697046
5/02/2016,386.5490112,2.538990021,0.00726208
6/02/2016,376.5220032,2.534460068,0.00792221
7/02/2016,376.6199951,2.964339972,0.00833814
8/02/2016,373.446991,3.17979002,0.00799082
9/02/2016,376.0289917,4.044640064,0.00781542
10/02/2016,381.6489868,4.436260223,0.00785346
11/02/2016,379.6539917,6.013100147,0.00781518
12/02/2016,384.2630005,5.546979904,0.00797939
13/02/2016,391.8599854,5.385320187,0.00825746
14/02/2016,407.230011,5.239729881,0.00859006
15/02/2016,400.1849976,5.288350105,0.00863064
16/02/2016,407.4880066,4.315289974,0.00845089
17/02/2016,416.321991,3.757240057,0.00813791
18/02/2016,422.3729858,4.399129868,0.0079953
19/02/2016,420.7850037,4.737889767,0.00824475
20/02/2016,437.1640015,4.341330051,0.0082526
21/02/2016,438.7980042,4.653619766,0.00810032
22/02/2016,437.7479858,5.616499901,0.00805031
23/02/2016,420.7359924,5.586209774,0.00796969
24/02/2016,424.9549866,6.236470222,0.00807609
25/02/2016,424.5440063,6.104800224,0.00802735
26/02/2016,432.1520081,5.92166996,0.00805793
27/02/2016,432.5190125,6.425859928,0.00797223
28/02/2016,433.5039978,6.468349934,0.0078889
29/02/2016,437.696991,6.33698988,0.00792256
1/03/2016,435.1229858,7.653689861,0.00800566
2/03/2016,423.9890137,8.465390205,0.00803018
3/03/2016,421.651001,9.294150352,0.00816162
4/03/2016,410.9389954,10.40600014,0.00809603
5/03/2016,400.5700073,11.00370026,0.00787792
6/03/2016,407.7070007,11.38290024,0.00785955
7/03/2016,414.3210144,9.552630424,0.00791761
8/03/2016,413.9719849,9.84720993,0.00794937
9/03/2016,414.8599854,11.89799976,0.00805628
10/03/2016,417.131012,11.30500031,0.00819045
11/03/2016,421.6900024,11.08279991,0.00880278
12/03/2016,411.6239929,13.5333004,0.00870026
13/03/2016,414.0650024,14.47500038,0.00863524
14/03/2016,416.4379883,12.45259953,0.00847896
15/03/2016,416.8299866,13.01000023,0.00818572
16/03/2016,417.0109863,12.52089977,0.00817845
17/03/2016,420.6210022,11.08150005,0.00828658
18/03/2016,409.5480042,10.99810028,0.00811926
19/03/2016,410.4440002,10.53069973,0.00801563
20/03/2016,413.7550049,10.31980038,0.00795973
21/03/2016,413.3070068,11.86410046,0.00804708
22/03/2016,418.0889893,11.2748003,0.00811002
23/03/2016,418.0409851,12.41670036,0.00833152
24/03/2016,416.3940125,11.23499966,0.00823031
25/03/2016,417.177002,10.7432003,0.00819108
26/03/2016,417.9450073,10.97399998,0.0080656
27/03/2016,426.7650146,10.41919994,0.00802863
28/03/2016,424.2309875,11.66559982,0.00756363
29/03/2016,416.5159912,11.65639973,0.00756569
30/03/2016,414.8160095,11.95289993,0.00733186
31/03/2016,416.7290039,11.4034996,0.00739148
1/04/2016,417.9599915,11.66359997,0.00741781
2/04/2016,420.8729858,11.59889984,0.0075013
3/04/2016,420.9039917,11.61830044,0.00750267
4/04/2016,421.4440002,11.1573,0.00749112
5/04/2016,424.0299988,10.43809986,0.00747418
6/04/2016,423.4129944,10.68540001,0.00729618
7/04/2016,422.7449951,10.06970024,0.00687549
8/04/2016,420.348999,9.719590187,0.00667077
9/04/2016,419.4110107,9.150620461,0.00628762
10/04/2016,421.5639954,8.936340332,0.00593697
11/04/2016,422.4830017,8.643790245,0.00604826
12/04/2016,425.1900024,7.442309856,0.00588508
