Date,CONS,NGDP,MONEY,PRICE,SHORT,LONG,URATE,WAGE,INVEST
1989-04-01,102348000000.00000,96629000000.000000,193300000000.000000,49.22219642442540,17.78333333333330,13.60000000000000,6.16581886666667,444.086127596439,40863000000.000000
1989-07-01,103251000000.00000,98458000000.000000,200200000000.000000,50.33666124912930,18.04666666666670,13.31666666666670,6.00995560000000,451.101706231454,40949000000.000000
1989-10-01,104015000000.00000,100201000000.000000,204800000000.000000,51.26538193638260,18.16666666666670,13.18333333333330,5.85298296666667,456.313278931751,39701000000.000000
1990-01-01,105070000000.00000,102016000000.000000,211700000000.000000,52.19410262363590,16.45666666666670,13.18000000000000,6.22884106666667,463.328857566766,39484000000.000000
1990-04-01,105644000000.00000,103978000000.000000,217000000000.000000,53.02995124216390,15.07000000000000,13.56333333333330,6.46596633333333,472.148442136498,37899000000.000000
1990-07-01,105781000000.00000,103352000000.000000,221800000000.000000,53.40143951706520,14.09000000000000,13.42666666666670,7.22279080000000,479.264243323442,37775000000.000000
1990-10-01,105117000000.00000,104625000000.000000,226600000000.000000,54.79452054794520,12.55666666666670,12.55000000000000,7.86726356666667,490.088278931751,36429000000.000000
1991-01-01,105343000000.00000,103209000000.000000,226100000000.000000,54.70164847921990,11.68000000000000,11.47666666666670,8.73069446666666,494.898961424332,34923000000.000000
1991-04-01,105779000000.00000,103269000000.000000,228700000000.000000,54.79452054794520,10.82333333333330,10.96666666666670,9.62869190000000,486.680712166172,33924000000.000000
1991-07-01,107032000000.00000,104071000000.000000,231200000000.000000,55.07313675412120,10.01666666666670,10.65666666666670,9.84092470000000,493.596068249258,34274000000.000000
1991-10-01,107207000000.00000,105066000000.000000,231000000000.000000,55.63036916647320,8.38333333333334,9.66333333333334,10.21911710000000,501.413427299703,34256000000.000000
1992-01-01,108326000000.00000,106583000000.000000,232000000000.000000,55.63036916647320,7.49333333333333,10.01333333333330,10.41479806666670,505.522551928783,34310000000.000000
1992-04-01,109306000000.00000,107001000000.000000,235300000000.000000,55.44462502902250,6.72000000000000,9.15000000000000,10.63567560000000,506.925667655786,34494000000.000000
1992-07-01,109520000000.00000,108009000000.000000,239000000000.000000,55.53749709774780,5.77000000000000,8.73666666666666,10.81904026666670,507.727448071217,34795000000.000000
1992-10-01,109880000000.00000,110176000000.000000,240200000000.000000,55.81611330392380,5.88000000000000,8.98000000000000,11.14767066666670,504.921216617211,37752000000.000000
1993-01-01,109831000000.00000,112044000000.000000,246100000000.000000,56.28047364755050,5.69333333333333,8.13333333333333,10.90088183333330,515.945697329377,36777000000.000000
1993-04-01,110709000000.00000,113191000000.000000,250200000000.000000,56.46621778500120,5.21333333333333,7.54333333333333,10.85044520000000,519.854376854599,37122000000.000000
1993-07-01,110465000000.00000,113056000000.000000,252500000000.000000,56.74483399117720,4.89666666666667,6.78666666666667,10.88435500000000,524.163946587537,36762000000.000000
1993-10-01,112332000000.00000,115464000000.000000,254800000000.000000,56.83770605990250,4.80333333333333,6.66000000000000,10.88685836666670,522.961275964392,37845000000.000000
1994-01-01,112955000000.00000,117740000000.000000,263300000000.000000,57.11632226607850,4.83000000000000,7.12000000000000,10.43953496666670,526.569287833828,39049000000.000000
1994-04-01,113641000000.00000,119303000000.000000,268100000000.000000,57.48781054097980,4.96333333333333,8.95333333333333,9.88441006666666,533.985756676558,41272000000.000000
1994-07-01,115806000000.00000,122767000000.000000,271700000000.000000,57.85929881588110,5.64666666666666,9.75333333333333,9.47320236666667,540.400000000000,43168000000.000000
1994-10-01,116443000000.00000,122059000000.000000,279900000000.000000,58.32365915950780,7.18666666666667,10.34000000000000,9.05625273333334,542.600000000000,44246000000.000000
1995-01-01,117778000000.00000,124255000000.000000,285200000000.000000,59.25237984676110,8.19333333333333,10.20627536333330,8.76523040000000,545.700000000000,42896000000.000000
1995-04-01,119251000000.00000,125928000000.000000,288300000000.000000,60.08822846528910,7.71333333333333,9.25370032066667,8.36569166666667,549.900000000000,41700000000.000000
1995-07-01,119566000000.00000,128643000000.000000,296700000000.000000,60.83120501509170,7.54333333333333,8.96414768800000,8.36729043333334,551.200000000000,44650000000.000000
1995-10-01,120906000000.00000,131117000000.000000,305500000000.000000,61.29556535871840,7.45333333333333,8.41945773533333,8.38964436666667,555.600000000000,42137000000.000000
1996-01-01,121991000000.00000,132820000000.000000,310700000000.000000,61.48130949616900,7.48666666666667,8.38968253966667,8.40030130000000,560.400000000000,43705000000.000000
1996-04-01,122791000000.00000,134901000000.000000,316100000000.000000,61.94566983979570,7.56333333333333,8.87914569033333,8.41608333333334,566.600000000000,46226000000.000000
1996-07-01,123090000000.00000,135629000000.000000,320500000000.000000,62.13141397724630,7.13000000000000,8.22429951666667,8.61954563333333,569.400000000000,43908000000.000000
1996-10-01,124057000000.00000,137627000000.000000,331800000000.000000,62.22428604597170,6.42666666666667,7.34370048333333,8.61942363333334,570.800000000000,45521000000.000000
1997-01-01,125267000000.00000,138867000000.000000,338000000000.000000,62.31715811469700,5.92666666666667,7.58417376766667,8.61959243333333,578.900000000000,48657000000.000000
1997-04-01,127261000000.00000,142403000000.000000,345200000000.000000,62.13141397724630,5.75333333333333,7.58311832633333,8.48219376666667,579.400000000000,50363000000.000000
1997-07-01,129055000000.00000,143411000000.000000,347700000000.000000,61.85279777107030,4.95333333333333,6.53497490433333,8.37281020000000,583.900000000000,50152000000.000000
1997-10-01,130805000000.00000,147253000000.000000,353700000000.000000,62.03854190852100,4.95000000000000,6.11740717733333,7.97596206666667,593.100000000000,52272000000.000000
1998-01-01,131205000000.00000,148268000000.000000,358100000000.000000,62.22428604597170,4.97333333333333,5.85266666666667,7.83965926666667,594.500000000000,52955000000.000000
1998-04-01,133339000000.00000,149438000000.000000,366400000000.000000,62.59577432087300,5.06666666666667,5.63341269833333,7.73340200000000,597.400000000000,51419000000.000000
1998-07-01,136070000000.00000,152076000000.000000,376400000000.000000,62.68864638959830,5.13000000000000,5.50192828933333,7.78690783333333,603.700000000000,52985000000.000000
1998-10-01,137444000000.00000,154923000000.000000,381800000000.000000,62.96726259577430,4.83666666666667,4.98387445900000,7.37417760000000,604.000000000000,54847000000.000000
1999-01-01,140000000000.00000,156324000000.000000,391200000000.000000,62.96726259577430,4.79000000000000,5.31813882533333,7.08176020000000,605.000000000000,53700000000.000000
1999-04-01,140947000000.00000,157265000000.000000,403300000000.000000,63.24587880195030,4.85000000000000,5.81329365100000,6.88573683333333,612.000000000000,54447000000.000000
1999-07-01,142563000000.00000,160260000000.000000,410900000000.000000,63.80311121430230,4.94000000000000,6.27242424233333,6.87349756666667,605.000000000000,57061000000.000000
1999-10-01,144518000000.00000,163105000000.000000,417600000000.000000,64.17459948920360,5.46666666666667,6.63339105333333,6.63289353333333,614.000000000000,57621000000.000000
2000-01-01,144907000000.00000,168043000000.000000,422800000000.000000,64.73183190155560,5.78333333333333,6.90198285600000,6.65040290000000,622.200000000000,58359000000.000000
2000-04-01,146081000000.00000,170017000000.000000,432200000000.000000,65.19619224518230,6.19333333333333,6.30091300266667,6.30179206666667,635.600000000000,60419000000.000000
2000-07-01,147508000000.00000,174185000000.000000,439500000000.000000,67.70373810076620,6.42000000000000,6.17516218066667,5.98896616666667,645.200000000000,57114000000.000000
2000-10-01,148425000000.00000,173204000000.000000,438200000000.000000,67.88948223821680,6.31333333333333,5.88021929833333,6.17108450000000,644.300000000000,51763000000.000000
